type,id,lat/u,lon/v,-/dist,name
node,104223004,40.5002484,-74.4378936,,
node,104223105,40.5089906,-74.4363442,,
node,104223107,40.5088305,-74.4365505,,
node,104223109,40.5087046,-74.4367771,,
node,104223111,40.5086409,-74.4370002,,
node,104223115,40.5073322,-74.436988,,
node,104224076,40.5089197,-74.4346885,,
node,104224090,40.5155113,-74.4818873,,
node,104224092,40.516042,-74.480718,,
node,104224097,40.4564683,-74.4863482,,
node,104224268,40.5177337,-74.4199965,,
node,104224312,40.516939,-74.4242412,,
node,104224994,40.480781,-74.436781,,
node,104224996,40.480782,-74.436723,,
node,104224998,40.480775,-74.436671,,
node,104225000,40.480748,-74.4366,,
node,104225002,40.480711,-74.436548,,
node,104225063,40.5324122,-74.4596434,,
node,104225513,40.5285024,-74.4729962,,
node,104226626,40.5085154,-74.4287736,,
node,104226935,40.5324632,-74.4337869,,
node,104226949,40.5326089,-74.4336905,,
node,104226970,40.4775167,-74.4636325,,
node,104226972,40.478414,-74.465044,,
node,104227872,40.4631089,-74.4535837,,
node,104228016,40.480196,-74.442297,,
node,104228018,40.479815,-74.441731,,
node,104228020,40.479782,-74.441558,,
node,104228022,40.479782,-74.441377,,
node,104228023,40.479861,-74.441256,,
node,104228025,40.479934,-74.441187,,
node,104228027,40.480026,-74.441178,,
node,104228029,40.480125,-74.441213,,
node,104228031,40.48021,-74.441264,,
node,104228033,40.4802912,-74.4413677,,
node,104228035,40.4805855,-74.4418678,,
node,104228298,40.462994,-74.416717,,
node,104228555,40.5081486,-74.4260942,,
node,104228577,40.5281407,-74.4708721,,
node,104228580,40.5137706,-74.4256671,,
node,104228582,40.5138272,-74.4257202,,
node,104228588,40.4916556,-74.4548156,,
node,104228590,40.4914945,-74.454565,,
node,104228593,40.5326499,-74.4573556,,
node,104228595,40.532527,-74.457504,,
node,104229166,40.5103143,-74.4332363,,
node,104229168,40.5099037,-74.4325597,,
node,104229170,40.5100032,-74.4325432,,
node,104229172,40.510176,-74.4324555,,
node,104229203,40.4827157,-74.448813,,
node,104229205,40.4824915,-74.4484297,,
node,104229275,40.4682918,-74.4717191,,
node,104229277,40.4673333,-74.4728195,,
node,104229279,40.467177,-74.472923,,
node,104229486,40.520257,-74.4228998,,
node,104229489,40.4861877,-74.4488511,,
node,104229576,40.4787637,-74.4488027,,
node,104230388,40.531213,-74.492709,,
node,104231124,40.501168,-74.4224728,,
node,104231170,40.463448,-74.448323,,
node,104233122,40.4678927,-74.4882274,,
node,104233124,40.4680457,-74.4882533,,
node,104233127,40.4685434,-74.4877192,,
node,104233129,40.468563,-74.487616,,
node,104233131,40.468569,-74.487554,,
node,104233133,40.468566,-74.487528,,
node,104233135,40.468201,-74.486805,,
node,104233137,40.468062,-74.486785,,
node,104234147,40.4885494,-74.4408523,,
node,104234149,40.5013605,-74.4146333,,
node,104234168,40.5335223,-74.4585588,,
node,104234188,40.4778046,-74.4426882,,
node,104234189,40.477445,-74.442166,,
node,104234190,40.4771722,-74.4433126,,
node,104234191,40.47684,-74.442758,,
node,104234192,40.493551,-74.4595432,,
node,104234278,40.4686985,-74.4875961,,
node,104234279,40.468732,-74.487583,,
node,104234280,40.4688281,-74.4876334,,
node,104234341,40.5303374,-74.4715679,,
node,104234528,40.5302782,-74.4364933,,
node,104234529,40.5300165,-74.436313,,
node,104234530,40.5299325,-74.436301,,
node,104234531,40.5298909,-74.43633,,
node,104234532,40.5292725,-74.4368489,,
node,104234533,40.5290789,-74.4364392,,
node,104234534,40.5293248,-74.4361776,,
node,104234535,40.529384,-74.436088,,
node,104234536,40.529401,-74.435885,,
node,104234537,40.5293659,-74.4358112,,
node,104234538,40.5291694,-74.4355463,,
node,104234539,40.5340945,-74.481566,,
node,104234551,40.5330212,-74.4809705,,
node,104234907,40.503368,-74.465327,,
